name,max_attempts,timeout_ms,initial_backoff_ms,max_backoff_ms,attempts_completed,elapsed_ms,code,cancelled,replay_safe,jitter_permille,retry_after_ms,retry,delay_ms,reason
unavailable_first,4,1000,100,400,1,0,14,false,true,1000,,true,100,1
resource_exhausted,4,1000,100,400,1,0,8,false,true,1000,,true,100,1
second_attempt,4,1000,100,400,2,0,14,false,true,1000,,true,200,1
third_attempt,4,1000,100,400,3,0,14,false,true,1000,,true,400,1
exponential_capped,8,1000,100,400,7,0,14,false,true,1000,,true,400,1
zero_jitter,4,1000,100,400,1,0,14,false,true,0,,true,0,1
half_jitter,4,1000,100,400,1,0,14,false,true,500,,true,50,1
integer_floor,4,1000,101,400,1,0,14,false,true,333,,true,33,1
server_minimum,4,1000,100,400,1,0,14,false,true,1000,700,true,700,1
server_zero_is_present,4,1000,100,400,1,0,14,false,true,1000,0,true,100,1
server_minimum_below_jitter,4,1000,100,400,1,0,14,false,true,1000,50,true,100,1
server_minimum_after_jitter,4,1000,100,400,1,0,14,false,true,0,700,true,700,1
server_equal_remaining,4,1000,100,400,1,0,14,false,true,1000,1000,false,0,6
server_greater_remaining,4,1000,100,400,1,0,14,false,true,1000,1001,false,0,6
server_minimum_not_capped,4,1000,100,400,1,0,14,false,true,1000,900,true,900,1
deadline_equal_backoff,4,1000,100,400,1,900,14,false,true,1000,,false,0,6
deadline_one_ms_left,4,1000,100,400,1,999,14,false,true,0,,true,0,1
deadline_already_expired,4,1000,100,400,1,1000,14,false,true,1000,,false,0,6
deadline_overrun,4,1000,100,400,1,1001,14,false,true,1000,,false,0,6
cancelled,4,1000,100,400,1,0,14,true,true,1000,,false,0,3
unsafe_write,4,1000,100,400,1,0,14,false,false,1000,,false,0,4
cancelled_before_unsafe,4,1000,100,400,1,0,14,true,false,1000,,false,0,3
all_attempts_used,4,1000,100,400,4,0,14,false,true,1000,,false,0,5
count_over_policy,4,1000,100,400,5,0,14,false,true,1000,,false,0,5
retry_disabled,1,1000,100,400,1,0,14,false,true,1000,,false,0,5
invalid_attempt_limit_zero,0,1000,100,400,1,0,14,false,true,1000,,false,0,2
invalid_attempt_limit_high,9,1000,100,400,1,0,14,false,true,1000,,false,0,2
invalid_timeout_zero,4,0,100,400,1,0,14,false,true,1000,,false,0,2
invalid_timeout_high,4,3600001,100,400,1,0,14,false,true,1000,,false,0,2
invalid_initial_zero,4,1000,0,400,1,0,14,false,true,1000,,false,0,2
invalid_initial_high,4,1000,60001,60001,1,0,14,false,true,1000,,false,0,2
invalid_backoff_cap,4,1000,100,99,1,0,14,false,true,1000,,false,0,2
invalid_backoff_high,4,1000,100,60001,1,0,14,false,true,1000,,false,0,2
invalid_completed_zero,4,1000,100,400,0,0,14,false,true,1000,,false,0,2
invalid_completed_high,4,1000,100,400,9,0,14,false,true,1000,,false,0,2
invalid_elapsed_high,4,1000,100,400,1,3600001,14,false,true,1000,,false,0,2
invalid_jitter_high,4,1000,100,400,1,0,14,false,true,1001,,false,0,2
invalid_status_high,4,1000,100,400,1,0,17,false,true,1000,,false,0,2
invalid_server_minimum_high,4,1000,100,400,1,0,14,false,true,1000,3600001,false,0,2
largest_portable_bounds,8,3600000,60000,60000,7,0,14,false,true,1000,,true,60000,1
invalid_input_precedes_cancellation,0,1000,100,400,1,0,14,true,true,1000,,false,0,2
status_0,4,1000,100,400,1,0,0,false,true,1000,,false,0,7
status_1,4,1000,100,400,1,0,1,false,true,1000,,false,0,7
status_2,4,1000,100,400,1,0,2,false,true,1000,,false,0,7
status_3,4,1000,100,400,1,0,3,false,true,1000,,false,0,7
status_4,4,1000,100,400,1,0,4,false,true,1000,,false,0,7
status_5,4,1000,100,400,1,0,5,false,true,1000,,false,0,7
status_6,4,1000,100,400,1,0,6,false,true,1000,,false,0,7
status_7,4,1000,100,400,1,0,7,false,true,1000,,false,0,7
status_8,4,1000,100,400,1,0,8,false,true,1000,,true,100,1
status_9,4,1000,100,400,1,0,9,false,true,1000,,false,0,7
status_10,4,1000,100,400,1,0,10,false,true,1000,,false,0,7
status_11,4,1000,100,400,1,0,11,false,true,1000,,false,0,7
status_12,4,1000,100,400,1,0,12,false,true,1000,,false,0,7
status_13,4,1000,100,400,1,0,13,false,true,1000,,false,0,7
status_14,4,1000,100,400,1,0,14,false,true,1000,,true,100,1
status_15,4,1000,100,400,1,0,15,false,true,1000,,false,0,7
status_16,4,1000,100,400,1,0,16,false,true,1000,,false,0,7
